Index,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
134,Loud (Japan Version),9,5lP1kCqAj1fh9pgJWOKyJa,Complicated,spotify:track:5lP1kCqAj1fh9pgJWOKyJa,0.221,0.703,0.888,1.35e-06,0.0996,-3.551,0.0373,137.945,0.341,43
135,Loud (Japan Version),10,1mjMXiWYKSJ5XmJCC0O9HJ,Skin,spotify:track:1mjMXiWYKSJ5XmJCC0O9HJ,0.131,0.638,0.568,0.0,0.127,-6.872,0.0428,126.989,0.12,58
136,Loud (Japan Version),11,4p2newrzzjPdXIENDqlCCW,Love The Way You Lie (Part II) - Pt. 2,spotify:track:4p2newrzzjPdXIENDqlCCW,0.279,0.484,0.821,0.0,0.0517,-4.497,0.148,166.399,0.384,52
137,Loud (Japan Version),12,3Tb4oHMR617zvLANuiV1ok,Only Girl (In The World) - The Bimbo Jones Radio,spotify:track:3Tb4oHMR617zvLANuiV1ok,0.0378,0.702,0.914,3.94e-05,0.677,-4.203,0.0374,127.862,0.813,42
138,Loud (Japan Version),13,25A1RmT5eh7C99KXfESRj5,Only Girl (In The World) - CCW Radio Mix,spotify:track:25A1RmT5eh7C99KXfESRj5,0.0179,0.742,0.856,0.000179,0.551,-5.035,0.0387,125.974,0.816,41
139,Rated R,1,4oHkmDMdEHbd0f1xWqyFC7,Mad House,spotify:track:4oHkmDMdEHbd0f1xWqyFC7,0.000938,0.306,0.591,0.000175,0.163,-7.692,0.0578,70.159,0.293,45
140,Rated R,2,59QZX1c9i8Sn1hdVEF6IUi,Wait Your Turn,spotify:track:59QZX1c9i8Sn1hdVEF6IUi,0.0777,0.415,0.704,0.0,0.36,-4.883,0.0604,139.822,0.451,43
141,Rated R,3,3YJkAQNEhmCZGLdmPsu6Ye,Hard,spotify:track:3YJkAQNEhmCZGLdmPsu6Ye,0.0121,0.31,0.746,0.0,0.649,-3.599,0.111,182.032,0.163,56
142,Rated R,4,6Wiyd7AsRdXvXGrxNkbqQ1,Stupid In Love,spotify:track:6Wiyd7AsRdXvXGrxNkbqQ1,0.633,0.738,0.562,0.0,0.102,-5.435,0.0347,127.452,0.476,48
143,Rated R,5,5rXDTihGQ3TkYE3pmraAmH,ROCKSTAR 101,spotify:track:5rXDTihGQ3TkYE3pmraAmH,0.0299,0.343,0.65,0.0,0.646,-4.624,0.0909,170.697,0.315,51
144,Rated R,6,3rMsX63C0IZVnOT5LGYoTH,Russian Roulette,spotify:track:3rMsX63C0IZVnOT5LGYoTH,0.046,0.48,0.486,0.0,0.107,-5.754,0.0447,80.051,0.265,65
145,Rated R,7,2igOUypyg58AbiUPgrlPNN,Fire Bomb,spotify:track:2igOUypyg58AbiUPgrlPNN,0.13,0.561,0.847,0.0,0.151,-4.728,0.0446,149.909,0.443,42
146,Rated R,8,60jzFy6Nn4M0iD1d94oteF,Rude Boy,spotify:track:60jzFy6Nn4M0iD1d94oteF,0.113,0.563,0.75,0.0,0.0788,-4.496,0.127,173.906,0.812,80
147,Rated R,9,4iywo4hJoh7MxFdMLFqYhN,Photographs,spotify:track:4iywo4hJoh7MxFdMLFqYhN,0.136,0.696,0.632,0.0,0.123,-5.786,0.0323,130.155,0.399,45
148,Rated R,10,0gzpfUezy3wdktjC2SD1FY,G4L,spotify:track:0gzpfUezy3wdktjC2SD1FY,0.071,0.36,0.721,0.0,0.382,-4.542,0.0448,137.783,0.216,40
149,Rated R,11,4YYHgF9dWyVSor0GtrBzdf,Te Amo,spotify:track:4YYHgF9dWyVSor0GtrBzdf,0.541,0.567,0.707,0.000176,0.1,-5.455,0.0818,171.917,0.751,71
150,Rated R,12,4MMOt2JI6OjKL9RPT97krd,Cold Case Love,spotify:track:4MMOt2JI6OjKL9RPT97krd,0.0291,0.437,0.443,0.000325,0.111,-7.767,0.0339,90.135,0.121,44
151,Rated R,13,0llmtI6cBL8SomPTzAjtZ4,The Last Song,spotify:track:0llmtI6cBL8SomPTzAjtZ4,0.332,0.294,0.595,0.0,0.112,-5.307,0.0398,130.857,0.0996,39
152,Good Girl Gone Bad: The Remixes,1,2b15tXMkdnrTVmTxktq7Tq,Umbrella - Seamus Haji & Paul Emanuel,spotify:track:2b15tXMkdnrTVmTxktq7Tq,9.33e-05,0.765,0.845,7.12e-06,0.0713,-3.223,0.0592,125.003,0.765,42
153,Good Girl Gone Bad: The Remixes,2,3empwGY5IFwaRgn5R8r1p1,Disturbia - Jody den Broeder,spotify:track:3empwGY5IFwaRgn5R8r1p1,0.00989,0.803,0.878,0.000659,0.584,-4.38,0.0468,127.978,0.905,44
154,Good Girl Gone Bad: The Remixes,3,1XekHLeG9WMs4Iy4EbbvCR,Shut Up And Drive - The Wideboys,spotify:track:1XekHLeG9WMs4Iy4EbbvCR,0.000666,0.609,0.909,0.00925,0.343,-3.837,0.335,128.05,0.571,32
155,Good Girl Gone Bad: The Remixes,4,29C7Be2EngZnn7GSK3dDOW,Don't Stop The Music - Jody den Broeder,spotify:track:29C7Be2EngZnn7GSK3dDOW,0.00117,0.733,0.886,0.000313,0.416,-3.462,0.0383,125.963,0.764,50
156,Good Girl Gone Bad: The Remixes,5,7tcxXaD8pklUOIUIrwVUhx,Take A Bow - Tony Moran & Warren Riggs,spotify:track:7tcxXaD8pklUOIUIrwVUhx,0.00447,0.566,0.935,3.93e-06,0.465,-4.922,0.0364,130.03,0.617,23
157,Good Girl Gone Bad: The Remixes,6,6Z5yD9aOtXVWYwIBQy6KPM,Breakin' Dishes - Soul Seekerz,spotify:track:6Z5yD9aOtXVWYwIBQy6KPM,0.000585,0.548,0.904,0.848,0.353,-6.559,0.0363,127.954,0.523,25
158,Good Girl Gone Bad: The Remixes,7,6SqkAuZuDhQmY0p2s8T1m0,Hate That I Love You - K-Klassic,spotify:track:6SqkAuZuDhQmY0p2s8T1m0,0.00133,0.631,0.906,0.00369,0.356,-3.825,0.0287,121.982,0.585,25
159,Good Girl Gone Bad: The Remixes,8,1K0wvTTsG6UAGF68xUmUc3,Question Existing - The Wideboys,spotify:track:1K0wvTTsG6UAGF68xUmUc3,0.0088,0.516,0.909,7.2e-05,0.308,-3.721,0.16,125.953,0.55,21
160,Good Girl Gone Bad: The Remixes,9,4whG6kcgqybA84DBbgwQkQ,Push Up On Me - Moto Blanco,spotify:track:4whG6kcgqybA84DBbgwQkQ,3.27e-05,0.632,0.953,0.912,0.262,-4.777,0.0376,128.007,0.795,22
161,Good Girl Gone Bad: The Remixes,10,2JW9OfqzIrJDJGx0kVEC6n,Good Girl Gone Bad - Soul Seekerz,spotify:track:2JW9OfqzIrJDJGx0kVEC6n,0.000111,0.589,0.919,2.24e-06,0.367,-5.505,0.0351,127.997,0.543,23
162,Good Girl Gone Bad: The Remixes,11,6P1pkjx7cMDKBU1TP7CqHY,Say It - Soul Seekerz,spotify:track:6P1pkjx7cMDKBU1TP7CqHY,0.000205,0.651,0.932,0.134,0.0296,-5.265,0.039,127.999,0.872,19
